 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd    20.1009960       64.9104996       8.67759132       2.50000000      -100.088997    
 Aro|Hyd    17.2699986       73.0195618       2.99835634       2.50000000      -37.7169991    
 Aro|Hyd    22.1366653       67.1593246       6.31233454       2.50000000      -19.1569996    
 Don&!Cat|Acc&!Ani    22.0483170       67.5131531       5.48784161       1.50000000      -17.3069992    
 Acc&!Ani    21.4128590       68.5402832       10.0075731       1.50000000      -9.76200008    
 Acc&!Ani    20.2700024       62.6831398       7.29328680       1.50000000      -7.76699972    
 Aro|Hyd    29.6700020       71.8260040       4.57900047       1.92613518      -7.21700001    
 Aro|Hyd    16.2700005       61.6259995       1.17900050       1.98746097      -5.71100044    
 Acc&!Ani    15.8700008       74.4260025       3.97900057       1.50000000      -5.44000006    
 Acc&!Ani    29.5200005       71.3260040       4.07900047       1.50000000      -5.34000015    
 Don&!Cat    20.2700005       66.8260040       10.3290005       1.50000000      -4.83100033    
 Aro|Hyd    16.2700005       63.0760002      0.329000473       1.83711994      -4.56599998    
 Acc&!Ani    23.9366665       66.4926682       3.91233373       1.50000000      -3.18500018    
 Don&!Cat    21.2700005       71.3260040       4.57900047       1.22474492      -2.28100014    
 Acc&!Ani    20.2700005       72.3260040       3.57900047       1.22474492      -2.08699989    
 Ani&Acc    17.2700005       60.8260002       12.5790005      0.866025388      -1.83800006    
 Don&!Cat    14.2700005       73.8260040       3.57900047      0.866025388      -1.53299999    
 Hyd    28.2700005       69.8260040      0.579000473      0.866025388      -1.02699995    
