Scoring mode will output 20 hypotheses of length 4-5
       score         hypothesis
0   0.999904    [0, 1, 3, 4, 5]
1   0.999844    [0, 1, 3, 4, 6]
2   0.999844    [0, 1, 3, 5, 6]
3   0.999834    [0, 1, 3, 4, 7]
4   0.999834    [0, 1, 3, 5, 7]
5   0.999768   [0, 1, 3, 4, 12]
6   0.999768   [0, 1, 3, 5, 12]
7   0.999761   [0, 1, 3, 4, 15]
8   0.999761   [0, 1, 3, 5, 15]
9   0.999732    [0, 1, 3, 6, 7]
10  0.999625   [0, 1, 3, 6, 12]
11  0.999614   [0, 1, 3, 6, 15]
12  0.999600   [0, 1, 3, 7, 12]
13  0.999588   [0, 1, 3, 7, 15]
14  0.999424  [0, 1, 3, 12, 15]
15  0.998838    [0, 3, 5, 6, 7]
16  0.998616    [0, 1, 4, 5, 6]
17  0.998523    [0, 1, 4, 5, 7]
18  0.998377   [0, 3, 5, 6, 12]
19  0.998269   [0, 3, 5, 7, 12]
