 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd   -9.06400108       20.4530010      -23.7200069       2.50000000      -56.8330002    
 Don&!Cat   -7.31400156       23.9780006      -26.1700020       1.50000000      -12.3740005    
 Aro|Hyd    2.53044295       20.6335564      -28.1588917       2.14519167      -10.3360004    
 Acc&!Ani   -9.41400146       19.3280010      -22.8950024       1.50000000      -9.13199997    
 Cat&Don   -3.91400146       19.7446651      -14.9366674       1.50000000      -5.90500021    
 Acc&!Ani   -9.66400146       22.3279991      -26.0200005       1.50000000      -5.70199966    
 Acc&!Ani   -5.24733496       24.7446651      -25.6033325       1.50000000      -3.48699999    
 Acc&!Ani   -6.41400146       20.0779991      -20.2700005       1.22474492      -2.36700010    
 Cat&Don   -3.91400146       23.0779991      -21.2700005      0.866025388      -2.00000000    
 Ani&Acc   -5.91400146       24.0779991      -14.2700005      0.866025388      -1.96300006    
 Don&!Cat   -10.9140015       21.0779991      -24.2700005      0.866025388      -1.67400002    
 Acc&!Ani   -6.91400146       22.0779991      -25.2700005      0.866025388      -1.08099997    
 Hyd   -2.91400146       20.0779991      -22.2700005      0.866025388      -1.07500005    
 Acc&!Ani   -2.91400146       21.0779991      -23.2700005      0.866025388      -1.00600004    
