 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd    20.4371796      -14.5299711       22.4953423       2.50000000      -48.1349983    
 Aro|Hyd    11.7276363      -11.2417250       21.0762730       2.50000000      -28.9680023    
 Cat&Don    9.07828522      -12.2547150       24.0632877       1.50000000      -15.2119999    
 Cat&Don    13.3640003      -18.3689995       15.1490002       1.50000000      -9.28299999    
 Acc&!Ani    20.8640003      -15.4690008       24.8490009       1.50000000      -9.21099949    
 Cat&Don    13.0306673      -13.3023329       28.6823349       1.50000000      -5.86899996    
 Don&!Cat    20.1140003      -14.4689999       20.0990009       1.50000000      -4.70899963    
 Acc&!Ani    19.6973343      -12.9689989       18.6823349       1.50000000      -3.34899998    
 Don&!Cat    11.8640003      -7.96899986       24.3490009       1.22474492      -2.47499990    
 Acc&!Ani    11.3640003      -11.4689999       21.3490009       1.22474492      -2.38299990    
 Don&!Cat    19.8640003      -10.9689999       31.3490009       1.22474492      -2.14300013    
 Cat&Don    15.3640003      -16.9689999       23.3490009      0.866025388      -1.87500000    
 Don&!Cat    18.3640003      -7.96899986       20.3490009      0.866025388      -1.24899995    
 Don&!Cat    11.3640003      -9.96899986       22.3490009      0.866025388      -1.16499996    
 Don&!Cat    20.3640003      -13.9689999       25.3490009      0.866025388      -1.15999997    
 Aro|Hyd    14.3640003      -10.9689999       14.3490009      0.866025388      -1.06700003    
