Scoring mode will output 20 hypotheses of length 4-5
       score         hypothesis
2   0.998645    [0, 1, 3, 4, 6]
5   0.998352    [0, 1, 2, 4, 6]
6   0.998337   [0, 1, 3, 4, 11]
7   0.998112   [0, 1, 4, 6, 11]
8   0.998016   [0, 1, 2, 4, 10]
9   0.997977   [0, 1, 2, 4, 11]
10  0.997890   [0, 1, 3, 6, 11]
12  0.997483   [0, 1, 2, 6, 10]
13  0.997433   [0, 1, 2, 6, 11]
14  0.996910  [0, 1, 2, 10, 11]
15  0.996819    [0, 1, 2, 4, 7]
16  0.995966    [0, 1, 2, 6, 7]
17  0.995144   [0, 1, 2, 7, 10]
18  0.995049   [0, 1, 2, 7, 11]
19  0.988212       [0, 1, 2, 3]
28  0.977841   [0, 1, 3, 4, 10]
32  0.972042   [0, 1, 3, 6, 10]
34  0.966611    [0, 1, 2, 4, 8]
35  0.965877  [0, 1, 3, 10, 11]
36  0.962637   [0, 1, 4, 6, 10]
