Scoring mode will output 20 hypotheses of length 4-5
       score         hypothesis
0   0.973310    [0, 1, 4, 6, 7]
1   0.971032   [0, 1, 4, 6, 11]
2   0.970009   [0, 1, 4, 6, 12]
3   0.969860   [0, 1, 4, 6, 14]
4   0.968764   [0, 1, 4, 7, 11]
5   0.967663   [0, 1, 4, 7, 12]
6   0.967504   [0, 1, 4, 7, 14]
7   0.964921  [0, 1, 4, 11, 12]
8   0.964749  [0, 1, 4, 11, 14]
9   0.963512  [0, 1, 4, 12, 14]
10  0.959967   [0, 1, 6, 7, 11]
11  0.958570   [0, 1, 6, 7, 12]
12  0.958367   [0, 1, 6, 7, 14]
13  0.955391    [0, 1, 4, 6, 9]
14  0.955092  [0, 1, 6, 11, 12]
15  0.954874  [0, 1, 6, 11, 14]
16  0.953307  [0, 1, 6, 12, 14]
17  0.951959    [0, 1, 4, 7, 9]
18  0.951639  [0, 1, 7, 11, 12]
19  0.951404  [0, 1, 7, 11, 14]
