 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd    34.6362267       28.0724831       39.6034546       2.50000000      -49.9080086    
 Aro|Hyd    31.1209869       30.5107441       33.2932587       2.50000000      -49.3589973    
 Don|Acc&!Ani    35.6533279       34.7596664       30.4473362       1.50000000      -30.7270012    
 Aro|Hyd    37.9518738       25.2331715       38.9678841       2.50000000      -20.9809990    
 Cat&Don    39.2459984       27.6253281       40.1508865       1.50000000      -17.7339993    
 Acc&!Ani    34.0317154       25.2205677       36.3334236       1.50000000      -17.7019997    
 Acc&!Ani    35.2459984       29.1669960       40.2619972       1.50000000      -9.30700016    
 Ani&Acc    34.2459984       32.5419998       36.2620010       1.50000000      -8.17599964    
 Aro|Hyd    31.1031437       20.8634300       42.8334274       2.10320282      -7.54400015    
 Aro|Hyd    32.9126663       21.1253338       41.9286652       2.04124165      -6.49900007    
 Don&!Cat    38.7459984       19.7919998       32.2620010       1.50000000      -2.32599998    
 Acc&!Ani    37.2459984       20.7919998       33.2620010       1.22474492      -2.32000017    
 Acc&!Ani    37.7459984       25.2919998       39.2620010       1.22474492      -2.31299996    
 Acc&!Ani    33.2459984       20.7919998       42.2620010       1.22474492      -2.07499981    
 Hyd    36.2459984       33.7919998       28.7619991       1.50000000      -2.03999996    
 Cat&Don    38.2459984       24.2919998       39.2620010      0.866025388      -1.80100000    
