 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd    28.7798328       29.7669773       34.7656670       2.50000000      -68.7000122    
 Acc    31.0195255       33.3697853       32.7730713       1.50000000      -19.1649990    
 Don&!Cat|Acc    28.0383377       24.4089317       39.6218185       1.50000000      -15.8510008    
 Acc&!Ani    27.4395561       27.8225536       34.2517776       1.50000000      -14.2729998    
 Don&!Cat    28.5982857       26.9812832       36.0454292       1.50000000      -9.02799988    
 Don    36.8839989       36.3708572       28.4740009       1.50000000      -8.24200058    
 Acc&!Ani    28.3839989       30.2669983       33.9739990       1.50000000      -4.85599995    
 Don&!Cat    28.8839970       36.9336662       28.1406689       1.50000000      -4.58699989    
 Acc&!Ani    36.3839989       39.2669983       29.9740009       1.50000000      -2.92799997    
 Cat&Don    38.8839989       31.2669983       28.4740009      0.866025388      -1.83000004    
 Acc&!Ani    29.8839989       35.2669983       29.4740009      0.866025388      -1.59800005    
 Don&!Cat    27.8839989       29.2669983       32.4739990      0.866025388      -1.25699997    
