 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Aro|Hyd    26.6357002       10.7105732       19.1938667       2.50000000      -73.3899918    
 Cat&Don    21.8000050       8.98199844       22.8009987       1.50000000      -50.0820007    
 Aro|Hyd    17.7574120       9.83755398       19.5509987       2.50000000      -33.9619980    
 Aro|Hyd    19.8282642       12.8472185       17.8553448       2.50000000      -29.5000038    
 Ani&Acc    21.1681843       19.1910896       26.9146347       1.50000000      -21.9889984    
 Acc&!Ani    23.9214325       10.9962845       18.9795704       1.50000000      -17.5849991    
 Acc&!Ani    17.7785702       9.28199863       18.2652874       1.50000000      -8.18499947    
 Aro|Hyd    19.0642853       10.9962845       27.8367138       2.47745013      -7.52899933    
 Don&!Cat    24.6833344       11.9486656       17.0510006       1.50000000      -6.56599998    
 Don&!Cat    20.8500004       10.0319996       27.3010006       1.50000000      -5.06000042    
 Aro|Hyd    14.1000004       17.7819996       23.0510006       1.88745856      -4.45600033    
 Cat&Don    28.3500004       10.7819996       20.5510006       1.22474492      -3.83899999    
 Cat&Don    28.3500004       3.28199959       23.0510006       1.22474492      -3.75699997    
 Acc&!Ani    28.3500004       10.7819996       19.5510006       1.22474492      -2.34599996    
 Acc&!Ani    19.3500004       11.7819996       27.5510006       1.22474492      -2.12199998    
 Ani&Acc    27.3500004       18.2819996       26.5510006      0.866025388      -1.91999996    
 Ani&Acc    13.3500004       12.2819996       22.5510006      0.866025388      -1.91900003    
 Don&!Cat    19.3500004       9.28199959       19.5510006      0.866025388      -1.09399998    
 Hyd    27.3500004       17.2819996       15.5510006      0.866025388      -1.00300002    
