Scoring mode will output 20 hypotheses of length 4-5
       score        hypothesis
6   0.999971   [0, 2, 3, 5, 6]
7   0.999970   [0, 2, 3, 5, 8]
8   0.999960  [0, 2, 3, 5, 17]
9   0.999951      [0, 1, 2, 3]
10  0.999946   [0, 2, 3, 6, 8]
11  0.999935   [0, 1, 2, 5, 6]
13  0.999933   [0, 1, 2, 5, 8]
15  0.999926  [0, 2, 3, 6, 17]
16  0.999924  [0, 2, 3, 8, 17]
17  0.999916   [0, 1, 3, 5, 6]
18  0.999915   [0, 2, 3, 5, 7]
19  0.999913   [0, 1, 3, 5, 8]
20  0.999909  [0, 1, 2, 5, 17]
21  0.999890   [0, 2, 3, 5, 9]
23  0.999883  [0, 1, 3, 5, 17]
24  0.999877   [0, 1, 2, 6, 8]
25  0.999855   [0, 2, 3, 6, 7]
26  0.999842   [0, 1, 3, 6, 8]
27  0.999841   [0, 2, 3, 7, 8]
28  0.999832  [0, 1, 2, 6, 17]
