 FGFE for each feature
 Type | Sphere Center X | Y | Z | Sphere radius R | FGFE
 Ani&Acc    44.5999908       16.1140003       4.24900055       1.50000000      -49.1389961    
 Ani&Acc    52.3882256       5.95811844       3.48429465       1.50000000      -39.3869972    
 Aro|Hyd    47.9481506       6.14548254       2.47122288       2.50000000      -35.4099998    
 Aro|Hyd    45.2583275       10.2056675      0.624000549       2.50000000      -30.9029980    
 Aro|Hyd    44.8434677       12.0553045     -0.446651638       2.50000000      -30.2579994    
 Ani&Acc    47.0222168       12.2195559       9.91566753       1.50000000      -22.4669991    
 Ani&Acc    44.2545395       11.0276375       10.0671825       1.50000000      -22.3950005    
 Ani&Acc    46.0000000       17.0639992       3.04900050       1.50000000      -12.2849998    
 Ani&Acc    53.7999992       9.83066654      -1.75099945       1.50000000      -11.8559999    
 Ani&Acc    40.2999992       7.41399956       7.49900055       1.50000000      -8.09700012    
 Ani&Acc    43.7999992       4.66399956       10.2490005      0.866025388      -2.16400003    
 Ani&Acc    54.7999992       7.66399956      -2.75099945      0.866025388      -1.83700001    
 Acc&!Ani    47.7999992       6.66399956       2.24900055      0.866025388      -1.14100003    
